sampleName,nCount_RNA,nFeature_RNA,percent.mt
WT_0h,3915,1960,0.127713920817369
WT_0h,1795,1289,0.389972144846797
WT_0h,5239,2601,0.229051345676656
WT_0h,6186,2925,0.242483026188167
WT_0h,3693,1902,0.135391280801516
WT_0h,3559,2150,0.0280977802753582
WT_0h,3938,2163,0.101574403250381
WT_0h,11940,4653,0.276381909547739
WT_0h,4563,2478,0.131492439184747
WT_0h,5775,2813,0.675324675324675
WT_0h,3935,2049,0.254129606099111
WT_0h,3854,2259,0.129735339906591
WT_0h,3596,2165,0.0278086763070078
WT_0h,6403,3008,0.0937060752772138
WT_0h,2654,1809,0.602863602110023
WT_0h,808,524,0.371287128712871
WT_0h,3770,2056,0.106100795755968
WT_0h,3307,2034,0.0604777744179014
WT_0h,3544,2038,0.90293453724605
WT_0h,5366,2909,1.41632500931793
WT_0h,2954,1881,0.643195666892349
WT_0h,4156,2141,0.168431183830606
WT_0h,2647,1638,0.22667170381564
WT_0h,2738,1787,0.876552227903579
WT_0h,12566,4771,0.628680566608308
WT_0h,1398,874,0.858369098712446
WT_0h,3701,2038,0.2431775195893
WT_0h,3049,1899,0.229583469990161
WT_0h,2315,1478,0.345572354211663
WT_0h,2954,1743,0.0677048070412999
WT_0h,2761,1860,0.362187613183629
WT_0h,4638,2654,0.172488141440276
WT_0h,5339,2634,0.33714178685147
WT_0h,2290,1603,0.305676855895196
WT_0h,4213,2217,0.189888440541182
WT_0h,5974,3127,0.150652828925343
WT_0h,2875,1792,0.8
WT_0h,13448,5102,0.855145746579417
WT_0h,3624,2153,0.386313465783664
WT_0h,7024,3265,0.0142369020501139
WT_0h,4029,2169,0.148920327624721
WT_0h,6046,2970,0.0992391663910023
WT_0h,4862,2366,0.0411353352529823
WT_0h,2678,1623,0.0373412994772218
WT_0h,3962,2341,0.151438667339727
WT_0h,3722,2210,0.134336378291241
WT_0h,3750,1995,0.16
WT_0h,6994,3182,0.114383757506434
WT_0h,8552,3706,0.0701590271281572
WT_0h,5011,2707,0.219517062462582
WT_0h,13634,4933,0.550095349860643
WT_0h,3782,2133,0.317292437863564
WT_0h,425,355,2.35294117647059
WT_0h,11342,4575,0.299770763533768
WT_0h,3832,2124,0.182672233820459
WT_0h,4840,2187,0.103305785123967
WT_0h,741,614,0.134952766531714
WT_0h,5067,2684,0.0394710874284587
WT_0h,4094,2291,0.195407914020518
WT_0h,3283,1832,0.152299725860493
WT_0h,2661,1597,0
WT_0h,2948,1796,0.373134328358209
WT_0h,4634,2506,0.258955545964609
WT_0h,4978,2534,0.220972278023303
WT_0h,3554,2063,0.168823860438942
WT_0h,84387,10353,1.45046037896832
WT_0h,12168,4708,0.657462195923734
WT_0h,3424,1970,0.350467289719626
WT_0h,4005,2303,0.0499375780274657
WT_0h,886,589,0.790067720090293
WT_0h,3618,2283,0.386954118297402
WT_0h,6209,3295,0.56369785794814
WT_0h,4273,2204,0.257430376784461
