p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
3.6191460355885e-301,1.42681918595511,0.95,0.842,8.66568326761309e-297,Aldoa
1.66680878081004e-246,1.27697244365749,0.961,0.914,3.99100694477156e-242,Gapdh
1.42945649494254e-204,1.04470288731162,0.912,0.816,3.42269063149042e-200,Tpi1
5.55286710882458e-202,1.19546056237497,0.869,0.648,1.32957850053696e-197,Eno1
4.0804645127908e-175,1.00102084003136,0.904,0.752,9.77026422942628e-171,Pgk1
6.20845489008725e-174,0.830407907501115,0.922,0.852,1.48655243888249e-169,Pkm
2.53372808073678e-169,0.993850022936125,0.706,0.376,6.06675851651615e-165,Slc2a1
3.24314511046965e-107,0.755632240849314,0.495,0.218,7.76538665250853e-103,Slc2a3
4.21142406816782e-93,0.736727005703659,0.861,0.791,1.0083833788821e-88,Pgam1
4.36572783148107e-80,0.376442083838765,0.366,0.141,1.04532987196983e-75,Eno2
1.3685143675458e-36,0.333809976829246,0.523,0.351,3.27677080165167e-32,Hk2
2.91926183433049e-25,0.299687322958211,0.616,0.521,6.98988053612092e-21,Pfkl
4.72765238281377e-10,-0.116678304287422,0.151,0.22,1.13198908654093e-05,Bpgm
1.17755585401387e-06,0.189280674752012,0.437,0.397,0.0281953973685082,Hk1
0.000436603080806368,-0.0100380260560468,0.017,0.032,1,Hkdc1
0.000632961789136778,-0.0461807972965369,0.016,0.03,1,Pgam2
0.0162035678286773,-0.0171196884020203,0.303,0.339,1,Pfkm
